_id,name,description,watering
65cd7a8e9b72e6c8940d1234,Succulents,Plants with thick fleshy parts adapted to store water,14
65cd7a8e9b72e6c8940d1235,Cacti,Succulent plants with unique areoles and often spines,30
65cd7a8e9b72e6c8940d1236,Tropical Foliage,Plants native to tropical regions (often with large decorative leaves),14
65cd7a8e9b72e6c8940d1237,Ferns,Vascular plants that reproduce via spores and have neither seeds nor flowers,7
65cd7a8e9b72e6c8940d1238,Aroids,Plants in the Araceae family (often with distinctive leaf shapes),14
65cd7a8e9b72e6c8940d1239,Flowering Houseplants,Indoor plants that produce flowers,7
65cd7a8e9b72e6c8940d123a,Vines and Climbers,Plants with a climbing or trailing growth habit,14
65cd7a8e9b72e6c8940d123b,Bromeliads,Tropical plants often with rosette growth and colorful leaves or flowers,14
65cd7a8e9b72e6c8940d123c,Palms,Plants with distinctive frond leaves (giving a tropical appearance),14
65cd7a8e9b72e6c8940d123d,Air Plants,Plants that grow without soil (typically from the Tillandsia genus),3
65cd7a8e9b72e6c8940d123e,Carnivorous Plants,Plants that trap and digest insects,7
65cd7a8e9b72e6c8940d123f,Orchids,Plants with complex flowers and often epiphytic growth habits,10
