_id,name,description,genus_id
66b55b1a9c3d4e5f6a7b8cb3,Monstera Deliciousa,The large foliage of the mature plants has striking fenestration and this exotic-looking plant is super easy to grow indoors. Individual leaves grow to be up to 3 feet long and with its upward vining growth habit and aerial roots it grows best up against a pole or trellis. https://thursd.com/articles/types-of-monstera,65cd7a8e9b72e6c8940d523e
66b55b1a9c3d4e5f6a7b8cb4,Monstera Thai Constellation,The splotchy creamy white and yellow pattern on the fenestrated foliage results in a unique form of variegation that for some enthusiasts makes it a worthwhile investment. https://costafarms.com/blogs/plant-finder/monstera,65cd7a8e9b72e6c8940d523e
66b55b1a9c3d4e5f6a7b8cb5,Monstera Albo,It looks similar to Thai Constellation but the splotchy white patterns can develop to be pure white on some leaves of mature specimens. https://plnts.com/en/blog/monstera-varieties-the-ultimate-guide,65cd7a8e9b72e6c8940d523e
66b55b1a9c3d4e5f6a7b8cb6,Monstera Peru,If you're looking for a compact monstera with beautiful individual patterns on its thick foliage consider the variegated variety of the Monstera Peru. Just remember that this plant won't develop fenestrations on its foliage regardless of how mature it is. https://peaceloveandhappiness.club/products/monstera-obliqua-peru,65cd7a8e9b72e6c8940d523e
66b55b1a9c3d4e5f6a7b8cb7,Monstera Mint,The mint Monstera is a variegated variety of Monstera that has a unique and attractive mint coloring setting it apart from other variegated plants which often have yellow or white flecks of color. https://plantproper.com/products/monstera-mint,65cd7a8e9b72e6c8940d523e
66b55b1a9c3d4e5f6a7b8cb8,Monstera Standleyana,This rare compact monstera species stands out for its unusual and unpredictable individual foliage color variations often appearing as white or yellow splashes on long lanceolate leaves. https://plnts.com/en/blog/monstera-varieties-the-ultimate-guide,65cd7a8e9b72e6c8940d523e
66b55b1a9c3d4e5f6a7b8cb9,Monstera Half Moon,High Variegated White Monstera Adansonii Albo in a Nursery Pot featuring Half-Moon Swiss Cheese Variegated Plant patterns that split the leaf down the middle. https://www.etsy.com/market/monstera_halfmoon,65cd7a8e9b72e6c8940d523e
66b55b1a9c3d4e5f6a7b8cba,Monstera Aurea,The Aurea features the same attractive foliage as the other non-variegated Monsteras but with the addition of some fairly spectacular yellow variegations that can appear as sectors or marbling. https://www.plantvault.com/blogs/blog/top-7-rare-monstera-houseplants,65cd7a8e9b72e6c8940d523e
66b55b1a9c3d4e5f6a7b8cbb,Monstera Burle Marx Flame,Often confused with dilacerata this variety features narrow ribcage-like foliage that resembles flames and has a thick cardboard texture. https://monsteraplantresource.com/monstera-dilacerata-monstera-burle-marx-flame-care-guide/,65cd7a8e9b72e6c8940d523e
66b55b1a9c3d4e5f6a7b8cbc,Monstera Esqueleto,Formerly known as epipremnoides this large species features massive fenestrations that extend from the midrib to the leaf margin creating a skeleton look. https://www.lovethatleaf.co.nz/blogs/plant-care-guides/which-monstera-is-it,65cd7a8e9b72e6c8940d523e
