_id,name,description,genus_id
66b55b1a9c3d4e5f6a7b8ca3,Philo Birkin,Birkins have medium-sized deep green leaves with white pinstripes and variegation,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7b8ca4,Philo Pink Princess,Striking bright pink variegation contrasts against its dark green or maroon leaves This philodendron has a climbing growth habit and its variegation requires high humidity and bright indirect light see https://www.plantvault.com/blogs/blog/27-philodendron-varieties,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7b8ca5,Philo White Knight,Its long pointed green leaves are splashed with light green and stark white variegation,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7b8ca6,Philo Silver Sword,This climbing philodendron gets its common name from its silvery sword-shaped leaves see https://gardenbetty.com/philodendron-varieties/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7b8ca7,Philo Brasil,It is distinguished by its lime green to yellow variegation see https://houseplantshop.com/collections/philodendrons,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7b8ca8,Philo Ring of Fire,With long broadly toothed leaves having bright orange pink red yellow or many hues of green see https://edsplantshop.com/blogs/info-education/the-rare-philodendron-collector-s-guide,65cd7a8e9b72e6c8940d523f
65cd7a8e9b72e6c8940d523f,Philo Painted Lady,It shows off bold striking leaves like they are streaked with a brush The bright large yellow foliage is speckled with green and displays pink petioles,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7b8caa,Philo Jose Bueno,Add a tropical feel to your plant collection with large thick variegated leathery leaves with splashes of yellow gold cream or white hues,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7b8cab,Philo Rio,It is a type of Philodendron Brasil the plant displays narrow shiny green cream and gray variegation on the foliage,65cd7a8e9b72e6c8940d523f
65cd7a8e9b72e6c8940d5230,Philo Strawberry Shake,It is a stunning variegated houseplant that is known for its unique pink yellow and cream coloring see https://edsplantshop.com/blogs/info-education/the-rare-philodendron-collector-s-guide,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7b8cad,Philo White Stripe,Leggy philodendron typically with a white stripe down the middle,65cd7a8e9b72e6c8940d523f
